Number,Spell,Type,Function,Book,Loc,Snippet
1,Accio,Charm,Summons an object,4: GoF,340811,— both of them swung their wands above their heads and pointed them at their opponent; snape cried : expelliarmus! there was a dazzling flash of scarlet light and lockhart was blasted off his feet : he flew
2,Accio,Charm,Summons an object,4: GoF,340928,"— but it was empty, dumbledore groaned and began to pant, but i had some — wait — aguamenti! said Harry again, pointing his wand at the goblet, once more, for a second,"
3,Accio,Charm,Summons an object,4: GoF,340930,"— geminio! there … that should fool her, … hermione came running downstairs, let’s see, … relashio! the chains clinked and withdrew into the arms of the chair, mrs. cattermole looked just as frightened"
4,Accio,Charm,Summons an object,4: GoF,340932,"— he had seen himself — Harry flung himself out from behind the bush and pulled out his wand, expectopatronum! he yelled, and out of the end of his wand burst, not a shapeless cloud of"
5,Accio,Charm,Summons an object,4: GoF,425174,"— yeah — ron looked around, then directed his wand at a twig on the ground and said, wingardiumleviosa! the twig flew up from the ground, spun through the air as if caught by a gust"
6,Accio,Charm,Summons an object,4: GoF,427515,", a trickle of blood running down his face, no! mrs. weasley moaned, no … riddikulus! riddikulus! riddikulus! crack, dead twins, crack, dead percy, crack, dead Harry … mrs."
7,Accio,Charm,Summons an object,4: GoF,464135,", and granger, minis­ter, … no! black had bewitched them, i saw it immediately, a confundus charm, to judge by their behavior, they seemed to think there was a possibility he was innocent"
8,Accio,Charm,Summons an object,4: GoF,524711,", and she took out her wand, still gripping the back of Harry’s robes with her left hand, alohomora! the window sprang open, how — how —? said black weakly, staring at the hippogriff"
9,Accio,Charm,Summons an object,5: OotP,671784,", and the old snitch on top of his clothes, then he pointed hermione’s wand at the ice, diffindo, it cracked with a sound like a bullet in the silence : the surface of the pool broke"
10,Accio,Charm,Summons an object,5: OotP,707572,", but before she had time to raise her wand, ogden had lifted his own and said firmly, reparo, the pot mended itself instantly, gaunt looked for a moment as though he was going to shout"
11,Accio,Charm,Summons an object,5: OotP,765800,", but the death eaters — frankly, most people! — would have expected you to attack back! expelliarmus is a useful spell, Harry, but the death eaters seem to think it is your signature move"
12,Accio,Charm,Summons an object,5: OotP,777025,", clearly determined to repair the damage, Harry flung himself sideways as neville took aim again and shouted, stupefy! the jet of red light flew right over the death eater’s shoulder and hit a glass-fronted cabinet on"
13,Accio,Charm,Summons an object,5: OotP,814735,", entirely and absolutely, upon the thing that was his only chance, … he raised his wand, accio firebolt! he shouted, Harry waited, every fiber of him hoping, praying, … if it"
14,Accio,Charm,Summons an object,5: OotP,817342,", Harry spat blood out of his mouth, pointed his wand at the falling sidecar, and yelled, confringo! he knew a dreadful, gut-wrenching pang for hedwig as it exploded; the death eater nearest it"
15,Accio,Charm,Summons an object,5: OotP,819980,", Harry told a completely bemused mrs. cattermole, bit unfortunate, really … come on, hermione, … expectopatronum! a silver otter burst from the end of hermione’s wand and swam gracefully through the air to join"
16,Accio,Charm,Summons an object,5: OotP,821902,", Harry told ron and hermione everything that had happened during next morning’s charms lesson ( having first cast the muffliato spell upon those nearest them ), they were both satisfyingly impressed by the way he had wheedled the"
17,Accio,Charm,Summons an object,5: OotP,824994,", hurrying forward to help her, here … she tapped the broken scales with her wand and said, reparo, the girl did not say thank you, but remained rooted to the spot as they passed and"
18,Accio,Charm,Summons an object,5: OotP,824997,", in a very quiet voice, Harry missed the pod, hit the bowl, and shattered it, reparo, he said hastily, poking the pieces with his wand, and the bowl sprang back together again"
19,Accio,Charm,Summons an object,6: HBP,892540,", like, good! said hermione, as Harry set her back on her feet, they both murmured lumos! and their wand tips ignited, hagrid’s face swam through the gloom by the light of the two"
20,Accio,Charm,Summons an object,6: HBP,1017494,", master, forgive me! forgive us all! voldemort began to laugh, he raised his wand, crucio! the death eater on the ground writhed and shrieked; Harry was sure the sound must carry to"
21,Accio,Charm,Summons an object,6: HBP,1023756,", mouthing wordlessly, snape was bearing down upon him, reaching inside his robes, r — r — riddikulus! squeaked neville, there was a noise like a whip crack, snape stumbled; he was wear­ing"
22,Accio,Charm,Summons an object,7: DH,1063966,", of course i’m glad Harry wasn’t cursed! said hermione, clearly stung, but you can’t call that sectumsempra spell good, ginny, look where it’s landed him! and i’d have thought, seeing what this"
23,Accio,Charm,Summons an object,7: DH,1076150,", pinned to the floor, yes, whispered the voice, yesss … hold you … hold you … accio … accio wand … but nothing happened and he needed his hands to try to force the snake from"
24,Accio,Charm,Summons an object,7: DH,1079292,", professor mcgonagall rose to her feet, pointed her wand at the groggy death eater, and said, imperio, amycus got up, walked over to his sister, picked up her wand, then shuffled obediently"
